texto,etiqueta
Guardaré todo mi dinero en el banco,conservadora
Voy a ahorrar mi aguinaldo completo,conservadora
Prefiero esperar a ver qué pasa antes de mover mi dinero,conservadora
Dejaré mis ahorros como están,conservadora
Guardo el efectivo bajo el colchón,conservadora
Pagaré mi deuda de la tarjeta antes que nada,conservadora
Voy a liquidar mis deudas con mis ahorros,conservadora
Recortaré mis gastos y guardaré lo que sobre,conservadora
Armaré un fondo de emergencia de seis meses,conservadora
No haré nada por ahora,conservadora
Mantendré mi dinero en mi cuenta de ahorros,conservadora
Abonaré más a mi tarjeta para no pagar intereses,conservadora
Voy a vivir con menos y ahorrar más,conservadora
Guardaré el dinero en una cuenta segura,conservadora
Esperaré a que se calme la situación,conservadora
Mejor no arriesgo nada y conservo mi empleo,conservadora
Ahorro cada quincena una parte fija,conservadora
Pago primero la renta y guardo el resto,conservadora
Cancelaré mis suscripciones para gastar menos,conservadora
Dejo el dinero quieto hasta entender qué está pasando,conservadora
Prefiero tener efectivo disponible por si acaso,conservadora
Reduzco gastos y no toco mis ahorros,conservadora
Liquido mi tarjeta de crédito por completo,conservadora
Junto mi fondo para imprevistos,conservadora
Conservo mi trabajo y no me muevo,conservadora
Todo a mi cuenta de nómina sin riesgos,conservadora
Guardaré el aguinaldo para emergencias,conservadora
Pagaré por adelantado mis deudas pequeñas,conservadora
Mantengo la calma y sigo ahorrando igual,conservadora
No invierto nada este mes,conservadora
Dejaré el dinero en el banco aunque pague poco,conservadora
Apartaré dinero para la renta de los próximos meses,conservadora
Me quedo como estoy y cuido mi empleo,conservadora
Solo pagaré deudas y no compro nada,conservadora
Prefiero la seguridad del efectivo,conservadora
Voy a esperar mejores condiciones,conservadora
Ahorraré para el enganche sin endeudarme,conservadora
Junto tres meses de gastos antes de pensar en invertir,conservadora
Mi prioridad es quedar libre de deudas,conservadora
Guardo todo y no gasto en nada extra,conservadora
Invertiré una parte pequeña y guardaré el resto,moderada
Pondré la mitad en cetes y la mitad en mi cuenta,moderada
Diversificaré entre dólares y pesos,moderada
Compraré algunos dólares pero conservaré mis ahorros,moderada
Invertiré poco a poco cada mes,moderada
Repartiré mi dinero entre varias opciones,moderada
Una parte a plazo fijo y otra disponible,moderada
Renegociaré mi deuda con el banco,moderada
Reestructuraré mi crédito a una tasa fija,moderada
Invertiré el veinte por ciento de mis ahorros en la bolsa,moderada
Compraré udis para proteger una parte de mi dinero,moderada
Meteré algo a cetes que pagan buena tasa,moderada
Balancearé mi portafolio entre renta fija y variable,moderada
Ahorraré la mitad y con la otra compraré mercancía,moderada
Buscaré un ingreso extra los fines de semana,moderada
Invertiré con cautela solo lo que pueda perder,moderada
Pondré un tercio en dólares un tercio en cetes y dejo el resto líquido,moderada
Aportaré poco a poco a mi fondo de retiro,moderada
Compraré dólares gradualmente cada quincena,moderada
Mantendré mis inversiones pero sin meter más dinero,moderada
Aprovecharé las tasas altas con una parte de mis ahorros,moderada
Cambiaré una parte de mis pesos a moneda extranjera,moderada
Negociaré un mejor plazo con mis acreedores,moderada
Pagaré el mínimo de la deuda y ahorraré el resto,moderada
Dividiré mis ahorros en tres canastas distintas,moderada
Invertiré moderadamente en un fondo indexado,moderada
Probaré con una inversión pequeña primero,moderada
Destinaré una porción a inversión y otra al fondo de emergencia,moderada
Compraré despensa para dos meses y guardo lo demás,moderada
Mantengo mi plan de inversión mensual sin cambios,moderada
Pondré algo de dinero en udis y algo en efectivo,moderada
Reduciré mi exposición a la bolsa a la mitad,moderada
Mi aguinaldo lo divido entre deuda y ahorro,moderada
Tomaré un curso para mejorar mi sueldo y ahorro lo demás,moderada
Venderé solo una parte de mis acciones,moderada
Cubriré la deuda cara y mantendré la inversión barata,moderada
Rebalancearé mi portafolio hacia menos riesgo,moderada
